Android Angular 
cliente experimentará 
experimentará na 
na prática 
prática como 
como o 
o sistema 
sistema ou 
ou parte 
parte dele 
dele funcionará 
funcionará A 
A partir 
partir desse 
desse primeiro 
primeiro contato 
contato o 
o cliente 
cliente esclarece 
esclarece o 
o que 
que não 
não foi 
foi bem 
bem interpretado 
interpretado aprofunda 
aprofunda alguns 
alguns conceitos 
conceitos e 
e até 
até descobre 
descobre um 
um pouco 
pouco mais 
mais sobre 
sobre o 
o que 
que realmente 
realmente precisa 
precisa A 
A partir 
partir deste 
deste feedback 
feedback novos 
novos requisitos 
requisitos são 
são colhidos 
colhidos e 
e o 
o projeto 
projeto ganha 
ganha maior 
maior profundidade 
profundidade Outro 
Outro protótipo 
protótipo é 
é gerado 
gerado e 
e apresentado 
apresentado ao 
ao cliente 
cliente que 
que retorna 
retorna com 
com mais 
mais feedbacks 
feedbacks Ou 
Ou seja 
seja o 
o cliente 
cliente participa 
participa ativamente 
ativamente do 
do início 
início ao 
ao fim 
fim do 
do processo 
processo ver 
ver A 
A geração 
geração de 
de protótipos 
protótipos pode 
pode ser 
ser facilitada 
facilitada por 
por ferramentas 
ferramentas geradoras 
geradoras de 
de telas 
telas de 
de relatórios 
relatórios poupando 
poupando esforço 
esforço de 
de programação 
programação e 
e diminuindo 
diminuindo o 
o tempo 
tempo de 
de entrega 
entrega Cada 
Cada protótipo 
protótipo tem 
tem uma 
uma finalidade 
finalidade diferente 
diferente Um 
Um protótipo 
protótipo pode 
pode servir 
servir para 
para esclarecer 
esclarecer dúvidas 
dúvidas sobre 
sobre uma 
uma rotina 
rotina demonstrar 
demonstrar a 
a aparência 
aparência das 
das telas 
telas conteúdo 
conteúdo de 
de tabelas 
tabelas formato 
formato de 
de relatórios 
relatórios Os 
Os protótipos 
protótipos podem 
podem também 
também ser 
ser utilizados 
utilizados para 
para apresentar 
apresentar opções 
opções ao 
ao cliente 
cliente para 
para que 
que ele 
ele escolha 
escolha a 
a que 
que mais 
mais lhe 
lhe agrade 
agrade como 
como opções 
opções de 
de navegação 
navegação de 
de fluxo 
fluxo de 
de telas 
telas entre 
entre outras 
outras Por 
Por isso 
isso é 
é muito 
muito importante 
importante explicar 
explicar previamente 
previamente ao 
ao cliente 
cliente que 
que protótipos 
protótipos são 
são apenas 
apenas modelos 
modelos para 
para melhorar 
melhorar a 
a comunicação 
comunicação Caso 
Caso contrário 
contrário pode 
pode causar 
causar uma 
uma frustração 
frustração por 
por não 
não funcionar 
funcionar corretamente 
corretamente ter 
ter funções 
funções limitadas 
limitadas ter 
ter resposta 
resposta lenta 
lenta ou 
ou a 
a aparência 
aparência ruim 
ruim Certamente 
Certamente um 
um protótipo 
protótipo construído 
construído para 
para esclarecer 
esclarecer uma 
uma rotina 
rotina provavelmente 
provavelmente terá 
terá uma 
uma cara 
cara feia 
feia para 
para demonstrar 
demonstrar a 
a aparência 
aparência das 
das telas 
telas não 
não terá 
terá funcionalidade 
funcionalidade para 
para apresentar 
apresentar o 
o formato 
formato dos 
dos relatórios 
relatórios os 
os dados 
dados não 
não serão 
serão coerentes 
coerentes O 
O cliente 
cliente fará 
fará comparações 
comparações entre 
entre o 
o sistema 
sistema final 
final e 
e o 
o que 
que foi 
foi prometido 
prometido através 
através do 
do protótipo 
protótipo e 
e pode 
pode ficar 
ficar insatisfeito 
insatisfeito Por 
Por exemplo 
exemplo geralmente 
geralmente o 
o protótipo 
protótipo não 
não acessa 
acessa rede 
rede ou 
ou banco 
banco de 
de dados 
dados pois 
pois as 
as informações 
informações são 
são desenhadas 
desenhadas com 
com a 
a tela 
tela fazendo 
fazendo com 
com que 
que tudo 
tudo fique 
fique muito 
muito rápido 
rápido Já 
Já no 
no ambiente 
ambiente operacional 
operacional haverá 
haverá uma 
uma degradação 
degradação de 
de desempenho 
desempenho e 
e o 
o cliente 
cliente pode 
pode se 
se decepcionar 
decepcionar Faz 
Faz parte 
parte de 
de um 
um bom 
bom gerenciamento 
gerenciamento no 
no modelo 
modelo de 
de prototipagem 
prototipagem planejar 
planejar se 
se quais 
quais e 
e que 
que funções 
funções dos 
dos protótipos 
protótipos não 
não operacionais 
operacionais serão 
serão reaproveitadas 
reaproveitadas na 
na versão 
versão operacional 
operacional para 
para que 
que sua 
sua confecção 
confecção siga 
siga as 
as boas 
boas práticas 
práticas de 
de engenharia 
engenharia de 
de software 
software Os 
Os protótipos 
protótipos não 
não operacionais 
operacionais são 
são construídos 
construídos com 
com pouca 
pouca qualidade 
qualidade em 
em prol 
prol da 
da velocidade 
velocidade Ou 
Ou seja 
seja não 
não há 
há preocupação 
preocupação na 
na programação 
programação em 
em refinar 
refinar o 
o código 
código em 
em usar 
usar comentários 
comentários em 
em aproveitar 
aproveitar eficientemente 
eficientemente os 
os recursos 
recursos de 
de hardware 
hardware e 
e software 
software na 
na manutenção 
manutenção no 
no reuso 
reuso de 
de componentes 
componentes e 
e na 
na integração 
integração com 
com outras 
outras funções 
funções ou 
ou sistemas 
sistemas Com 
Com certeza 
certeza será 
será um 
um problema 
problema se 
se a 
a equipe 
equipe sucumbir 
sucumbir à 
à pressão 
pressão do 
do cliente 
cliente cada 
cada vez 
vez mais 
mais ansioso 
ansioso para 
para ver 
ver a 
a versão 
versão final 
final daquele 
daquele trabalho 
trabalho e 
e transformar 
transformar à 
à revelia 
revelia protótipos 
protótipos não 
não operacionais 
operacionais em 
em operacionais 
operacionais O 
O gerente 
gerente também 
também deve 
deve se 
se preocupar 
preocupar com 
com o 
o escopo 
escopo do 
do projeto 
projeto versus 
versus a 
a quantidade 
quantidade de 
de protótipos 
protótipos para 
para que 
que não 
não se 
se perca 
perca muito 
muito tempo 
tempo nesse 
nesse processo 
processo tampouco 
tampouco se 
se transforme 
transforme num 
num processo 
processo de 
de tentativa 
tentativa e 
e erro 
erro Não 
Não é 
é uma 
uma tarefa 
tarefa fácil 
fácil documentar 
documentar o 
o modelo 
modelo de 
de ciclo 
ciclo de 
de vida 
vida baseado 
baseado na 
na prototipagem 
prototipagem devido 
devido aos 
aos requisitos 
requisitos não 
não serem 
serem totalmente 
totalmente conhecidos 
conhecidos no 
no primeiro 
primeiro momento 
momento e 
e a 
a consequente 
consequente quantidade 
quantidade de 
de mudanças 
mudanças ocorridas 
ocorridas O 
O modelo 
modelo proposto 
proposto por 
por Boehm 
Boehm em 
em 1988 
1988 trata 
trata de 
de uma 
uma abordagem 
abordagem cíclica 
cíclica das 
das fases 
fases do 
do processo 
processo onde 
onde a 
a cada 
cada volta 
volta ou 
ou iteração 
iteração temos 
temos versões 
versões evolucionárias 
evolucionárias do 
do sistema 
sistema Este 
Este é 
é um 
um modelo 
modelo guiado 
guiado por 
por risco 
risco suporta 
suporta sistemas 
sistemas complexos 
complexos eou 
eou de 
de grande 
grande porte 
porte onde 
onde falhas 
falhas não 
não são 
são toleráveis 
toleráveis Para 
Para isso 
isso a 
a cada 
cada iteração 
iteração há 
há uma 
uma atividade 
atividade dedicada 
dedicada à 
à análise 
análise de 
de riscos 
riscos e 
e apoiada 
apoiada através 
através de 
de geração 
geração de 
de protótipos 
protótipos não 
não necessariamente 
necessariamente operacionais 
operacionais desenhos 
desenhos de 
de tela 
tela por 
por exemplo 
exemplo para 
para que 
que haja 
haja um 
um envolvimento 
envolvimento constante 
constante do 
do cliente 
cliente nas 
nas decisões 
decisões Cada 
Cada iteração 
iteração ou 
ou volta 
volta é 
é dedicada 
dedicada a 
a uma 
uma fase 
fase do 
do processo 
processo de 
de vida 
vida de 
de um 
um software 
software viabilidade 
viabilidade do 
do projeto 
projeto definição 
definição de 
de requisitos 
requisitos desenvolvimento 
desenvolvimento e 
e teste 
teste Ao 
Ao mesmo 
mesmo tempo 
tempo cada 
cada volta 
volta é 
é seccionada 
seccionada em 
em 4 
4 setores 
setores da 
da seguinte 
seguinte forma 
forma Ou 
Ou na 
na representação 
representação gráfica 
gráfica deste 
deste modelo 
modelo conforme 
conforme Os 
Os quatro 
quatro setores 
setores são 
são explicados 
explicados da 
da seguinte 
seguinte forma 
forma Ou 
Ou seja 
seja cada 
cada volta 
volta ou 
ou iteração 
iteração do 
do processo 
processo é 
é vista 
vista por 
por quatro 
quatro ângulos 
ângulos No 
No final 
final da 
da Viabilidade 
Viabilidade do 
do Projeto 
Projeto teremos 
teremos como 
como resultado 
resultado a 
a Concepção 
Concepção das 
das Operações 
Operações da 
da Definição 
Definição de 
de Requisitos 
Requisitos o 
o produto 
produto serão 
serão os 
os requisitos 
requisitos no 
no final 
final do 
do Desenvolvimento 
Desenvolvimento e 
e Testes 
Testes o 
o projeto 
projeto é 
é criado 
criado e 
e os 
os testes 
testes habilitados 
habilitados Podese 
Podese parar 
parar por 
por aí 
aí podese 
podese incluir 
incluir mais 
mais fases 
fases pode 
pode a 
a espiral 
espiral ficar 
ficar adormecida 
adormecida até 
até uma 
uma nova 
nova alteração 
alteração do 
do sistema 
sistema se 
se requisitada 
requisitada e 
e desta 
desta forma 
forma estender 
estender até 
até o 
o fim 
fim de 
de vida 
vida do 
do sistema 
sistema Neste 
Neste modelo 
modelo apenas 
apenas o 
o início 
início é 
é definido 
definido A 
A evolução 
evolução e 
e amadurecimento 
amadurecimento dos 
dos requisitos 
requisitos demandam 
demandam tempo 
tempo ajustável 
ajustável assim 
assim como 
como custo 
custo Isto 
Isto torna 
torna o 
o sistema 
sistema difícil 
difícil de 
de ser 
ser vender 
vender ao 
ao cliente 
cliente e 
e exige 
exige um 
um alto 
alto nível 
nível de 
de gerenciamento 
gerenciamento em 
em todo 
todo o 
o processo 
processo Derivado 
Derivado da 
da UML 
UML e 
e do 
do Processo 
Processo Unificado 
Unificado de 
de Desenvolvimento 
Desenvolvimento de 
de Software 
Software o 
o RUP 
RUP Rational 
Rational Unified 
Unified Process 
Process é 
é um 
um modelo 
modelo de 
de processo 
processo iterativo 
iterativo e 
e incremental 
incremental dividido 
dividido em 
em fases 
fases orientado 
orientado a 
a casos 
casos de 
de uso 
uso Possui 
Possui framework 
framework esqueleto 
esqueleto de 
de processo 
processo e 
e manuais 
manuais que 
que guiam 
guiam na 
na utilização 
utilização das 
das melhores 
melhores práticas 
práticas de 
de especificação 
especificação de 
de projeto 
projeto Vídeo 
Vídeo Aula 
Aula sobre 
sobre Ciclo 
Ciclo de 
de Vida 
Vida de 
de Software 
Software parte 
parte 3 
3 revista 
revista Engenharia 
Engenharia de 
de Software 
Software Magazine 
Magazine O 
O objetivo 
objetivo do 
do RUP 
RUP é 
é produzir 
produzir software 
software com 
com qualidade 
qualidade melhores 
melhores práticas 
práticas de 
de engenharia 
engenharia de 
de software 
software que 
que satisfaça 
satisfaça as 
as necessidades 
necessidades dos 
dos clientes 
clientes dentro 
dentro de 
de um 
um prazo 
prazo e 
e orçamento 
orçamento estabelecidos 
estabelecidos Este 
Este modelo 
modelo foi 
foi desenvolvido 
desenvolvido pela 
pela Rational 
Rational Software 
Software Corporation 
Corporation e 
e adquirido 
adquirido pela 
pela IBM 
IBM que 
que o 
o define 
define da 
da seguinte 
seguinte maneira 
maneira IBM 
IBM Rational 
Rational Unified 
Unified Process® 
Process® ou 
ou RUP 
RUP é 
é uma 
uma plataforma 
plataforma de 
de processo 
processo de 
de desenvolvimento 
desenvolvimento de 
de software 
software configurável 
configurável que 
que oferece 
oferece melhores 
melhores práticas 
práticas comprovadas 
comprovadas e 
e uma 
uma arquitetura 
arquitetura configurável 
configurável ver 
ver  
 O 
O RUP 
RUP possui 
possui quatro 
quatro fases 
fases de 
de negócio 
negócio O 
O nome 
nome de 
de cada 
cada fase 
fase revela 
revela o 
o que 
que será 
será entregue 
entregue por 
por ela 
ela ver 
ver modelo 
modelo de 
de requisitos 
requisitos desenvolvimento 
desenvolvimento para 
para o 
o software 
software A 
A iteração 
iteração no 
no RUP 
RUP tem 
tem por 
por objetivo 
objetivo minimizar 
minimizar os 
os riscos 
riscos Como 
Como pode 
pode ser 
ser visto 
visto na 
na a 
a iteração 
iteração pode 
pode acontecer 
acontecer dentro 
dentro de 
de cada 
cada fase 
fase gerando 
gerando incrementos 
incrementos ou 
ou em 
em todo 
todo o 
o processo 
processo Por 
Por exemplo 
exemplo dentro 
dentro da 
da concepção 
concepção a 
a iteração 
iteração pode 
pode ocorrer 
ocorrer até 
até que 
que todos 
todos os 
os requisitos 
requisitos sejam 
sejam perfeitamente 
perfeitamente entendidos 
entendidos O 
O plano 
plano de 
de iterações 
iterações identificará 
identificará quais 
quais e 
e quantas 
quantas iterações 
iterações são 
são necessárias 
necessárias durante 
durante o 
o processo 
processo Em 
Em geral 
geral essas 
essas fases 
fases demandam 
demandam esforço 
esforço e 
e programação 
programação diferentes 
diferentes Para 
Para um 
um projeto 
projeto de 
de médio 
médio porte 
porte de 
de acordo 
acordo com 
com o 
o fabricante 
fabricante será 
será seguida 
seguida a 
a distribuição 
distribuição apresentada 
apresentada na 
na O 
O RUP 
RUP usa 
usa templates 
templates que 
que descrevem 
descrevem o 
o que 
que é 
é esperado 
esperado no 
no resultado 
resultado de 
de cada 
cada fase 
fase ou 
ou cada 
cada iteração 
iteração IBM 
IBM 2004 
2004 identificando 
identificando as 
as competências 
competências e 
e responsabilidades 
responsabilidades arquiteto 
arquiteto analista 
analista testador 
testador as 
as atividades 
atividades e 
e os 
os artefatos 
artefatos Para 
Para descrever 
descrever as 
as atividades 
atividades codificação 
codificação de 
de uma 
uma classe 
classe integração 
integração de 
de sistemas 
sistemas o 
o RUP 
RUP faz 
faz o 
o uso 
uso de 
de manuais 
manuais guidelines 
guidelines que 
que descrevem 
descrevem técnicas 
técnicas e 
e heurísticas 
heurísticas e 
e de 
de Mentores 
Mentores de 
de Ferramentas 
Ferramentas que 
que explicam 
explicam o 
o uso 
uso da 
da ferramenta 
ferramenta para 
para executar 
executar a 
a atividade 
atividade Os 
Os artefatos 
artefatos de 
de cada 
cada fase 
fase documentos 
documentos modelos 
modelos códigos 
códigos etc 
etc são 
são criados 
criados juntamente 
juntamente com 
com templates 
templates e 
e exemplos 
exemplos para 
para melhor 
melhor entendimento 
entendimento da 
da equipe 
equipe e 
e do 
do cliente 
cliente ver 
ver Os 
Os templates 
templates também 
também ajudam 
ajudam no 
no gerenciamento 
gerenciamento pois 
pois definem 
definem o 
o que 
que precisa 
precisa ser 
ser executado 
executado Servem 
Servem também 
também como 
como guia 
guia para 
para que 
que as 
as boas 
boas práticas 
práticas de 
de especificação 
especificação de 
de projeto 
projeto não 
não sejam 
sejam esquecidas 
esquecidas no 
no processo 
processo de 
de desenvolvimento 
desenvolvimento daquele 
daquele software 
software Assim 
Assim toda 
toda a 
a preocupação 
preocupação dada 
dada pelo 
pelo RUP 
RUP em 
em disciplinar 
disciplinar o 
o processo 
processo através 
através de 
de frameworks 
frameworks guias 
guias templates 
templates faz 
faz com 
com que 
que haja 
haja uma 
uma melhor 
melhor alocação 
alocação de 
de pessoas 
pessoas na 
na equipe 
equipe padronização 
padronização do 
do sistema 
sistema visão 
visão concreta 
concreta do 
do andamento 
andamento do 
do projeto 
projeto A 
A escolha 
escolha do 
do RUP 
RUP deve 
deve ser 
ser feita 
feita por 
por empresas 
empresas de 
de software 
software com 
com prévia 
prévia experiência 
experiência pois 
pois a 
a definição 
definição de 
de framework 
framework templates 
templates guias 
guias métodos 
métodos entre 
entre outros 
outros demandam 
demandam tempo 
tempo e 
e exigem 
exigem aderência 
aderência às 
às boas 
boas práticas 
práticas de 
de processo 
processo de 
de software 
software Finalizando 
Finalizando este 
este artigo 
artigo sobre 
sobre os 
os segue 
segue uma 
uma tabela 
tabela comparativa 
comparativa das 
das principais 
principais características 
características que 
que devem 
devem ser 
ser observadas 
observadas antes 
antes de 
de escolher 
escolher o 
o ciclo 
ciclo ou 
ou os 
os ciclos 
ciclos de 
de vida 
vida a 
a serem 
serem adotados 
adotados ver 
ver Vale 
Vale ressaltar 
ressaltar que 
que conforme 
conforme já 
já mencionado 
mencionado anteriormente 
anteriormente não 
não existe 
existe um 
um modelo 
modelo ideal 
ideal e 
e na 
na maioria 
maioria dos 
dos softwares 
softwares desenvolvidos 
desenvolvidos são 
são utilizados 
utilizados mais 
mais de 
de um 
um modelo 
modelo de 
de ciclo 
ciclo de 
de vida 
vida Entre 
Entre de 
de cabeça 
cabeça no 
no REST 
REST Devmedia 
Devmedia Cadastrese 
Cadastrese Conheça 
Conheça agora 
agora Cadastrese 
Cadastrese Plataforma 
Plataforma para 
para Programadores 
Programadores Hospedagem 
Hospedagem web 
web por 
por Porta 
Porta 80 
80 Web 
Web Hosting 
Hosting Menu 
Menu Revistas 
Revistas Fale 
Fale conosco 
conosco Trabalhe 
Trabalhe conosco 
conosco Assinatura 
Assinatura para 
para empresas 
empresas Tecnologias 
Tecnologias FrontEnd 
FrontEnd NET 
NET PHP 
PHP Java 
Java Delphi 
Delphi JavaScript 
JavaScript Python 
Python Mobile 
Mobile Banco 
Banco de 
de Dados 
Dados Eng 
Eng de 
de Software 
Software Hospedagem 
Hospedagem web 
web por 
por Porta 
Porta 80 
80 Web 
Web Hosting 
Hosting Av 
Av Ayrton 
Ayrton Senna 
Senna 3000 
3000 Shopping 
Shopping Via 
Via Parque 
Parque grupo 
grupo 3087 
3087 Barra 
Barra da 
da Tijuca 
Tijuca Rio 
Rio de 
de Janeiro 
Janeiro RJ 
RJ Utilizamos 
Utilizamos cookies 
cookies para 
para fornecer 
fornecer uma 
uma melhor 
melhor experiência 
experiência para 
para nossos 
nossos usuários 
usuários Para 
Para saber 
saber mais 
mais sobre 
sobre o 
o uso 
uso de 
de cookies 
cookies consulte 
consulte nossa 
nossa política 
política de 
de privacidade 
privacidade Ao 
Ao continuar 
continuar navegando 
navegando em 
em nosso 
nosso site 
site você 
você concorda 
concorda com 
com a 
a nossa 
nossa política 

