Skip to content 
funções interligadas Por 
interligadas Por isso 
Por isso um 
isso um desenvolvedor 
um desenvolvedor precisa 
desenvolvedor precisa conhecer 
precisa conhecer muito 
conhecer muito bem 
muito bem tanto 
bem tanto sua 
tanto sua linguagem 
sua linguagem quanto 
linguagem quanto sua 
quanto sua estrutura 
sua estrutura se 
estrutura se quiser 
se quiser fazer 
quiser fazer alterações 
fazer alterações em 
alterações em qualquer 
em qualquer de 
qualquer de suas 
de suas funções 
suas funções Há 
funções Há frameworks 
Há frameworks de 
frameworks de todos 
de todos os 
todos os tipos 
os tipos com 
tipos com as 
com as mais 
as mais variadas 
mais variadas funções 
variadas funções e 
funções e diferentes 
e diferentes tamanhos 
diferentes tamanhos Por 
tamanhos Por isso 
Por isso o 
isso o desenvolvedor 
o desenvolvedor deve 
desenvolvedor deve encontrar 
deve encontrar aquele 
encontrar aquele que 
aquele que tenha 
que tenha só 
tenha só as 
só as funções 
as funções que 
funções que são 
que são necessárias 
são necessárias para 
necessárias para seu 
para seu projeto 
seu projeto — 
projeto — ou 
— ou o 
ou o mínimo 
o mínimo possível 
mínimo possível de 
possível de componentes 
de componentes extras 
componentes extras Lembrese 
extras Lembrese de 
Lembrese de que 
de que há 
que há diversas 
há diversas opções 
diversas opções mais 
opções mais robustas 
mais robustas mas 
robustas mas que 
mas que essas 
que essas ferramentas 
essas ferramentas vêm 
ferramentas vêm com 
vêm com uma 
com uma gama 
uma gama de 
gama de funções 
de funções que 
funções que têm 
que têm poucas 
têm poucas chances 
poucas chances de 
chances de serem 
de serem usadas 
serem usadas pela 
usadas pela aplicação 
pela aplicação Com 
aplicação Com isso 
Com isso vão 
isso vão representar 
vão representar um 
representar um peso 
um peso desnecessário 
peso desnecessário no 
desnecessário no programa 
no programa Existem 
programa Existem diversos 
Existem diversos frameworks 
diversos frameworks disponíveis 
frameworks disponíveis no 
disponíveis no mercado 
no mercado e 
mercado e é 
e é comum 
é comum que 
comum que grandes 
que grandes projetos 
grandes projetos utilizem 
projetos utilizem mais 
utilizem mais de 
mais de um 
de um deles 
um deles no 
deles no desenvolvimento 
no desenvolvimento de 
desenvolvimento de software 
de software Isso 
software Isso porque 
Isso porque cada 
porque cada uma 
cada uma dessas 
uma dessas estruturas 
dessas estruturas pode 
estruturas pode ser 
pode ser usada 
ser usada em 
usada em uma 
em uma parte 
uma parte distinta 
parte distinta da 
distinta da programação 
da programação Conheça 
programação Conheça alguns 
Conheça alguns deles 
alguns deles a 
deles a seguir 
a seguir O 
seguir O Bootstrap 
O Bootstrap é 
Bootstrap é a 
é a alternativa 
a alternativa mais 
alternativa mais conhecida 
mais conhecida para 
conhecida para o 
para o desenvolvimento 
o desenvolvimento de 
desenvolvimento de código 
de código de 
código de folhas 
de folhas de 
folhas de estilo 
de estilo Cascading 
estilo Cascading Style 
Cascading Style Sheets 
Style Sheets — 
Sheets — CSS 
— CSS Ele 
CSS Ele é 
Ele é responsável 
é responsável pelo 
responsável pelo estilo 
pelo estilo visual 
estilo visual das 
visual das páginas 
das páginas e 
páginas e pela 
e pela criação 
pela criação de 
criação de um 
de um resultado 
um resultado incrível 
resultado incrível Uma 
incrível Uma das 
Uma das principais 
das principais vantagens 
principais vantagens de 
vantagens de utilizálo 
de utilizálo em 
utilizálo em um 
em um projeto 
um projeto está 
projeto está ligada 
está ligada à 
ligada à responsividade 
à responsividade É 
responsividade É ela 
É ela que 
ela que dá 
que dá às 
dá às telas 
às telas e 
telas e aos 
e aos elementos 
aos elementos que 
elementos que as 
que as formam 
as formam a 
formam a capacidade 
a capacidade de 
capacidade de se 
de se adequar 
se adequar ao 
adequar ao tamanho 
ao tamanho do 
tamanho do dispositivo 
do dispositivo do 
dispositivo do usuário 
do usuário — 
usuário — seja 
— seja um 
seja um desktop 
um desktop seja 
desktop seja um 
seja um smartphone 
um smartphone Framework 
smartphone Framework de 
Framework de desenvolvimento 
de desenvolvimento de 
desenvolvimento de aplicações 
de aplicações híbridas 
aplicações híbridas o 
híbridas o Ionic 
o Ionic utiliza 
Ionic utiliza linguagens 
utiliza linguagens não 
linguagens não nativas 
não nativas para 
nativas para criar 
para criar aplicativos 
criar aplicativos que 
aplicativos que possam 
que possam ser 
possam ser executados 
ser executados em 
executados em dispositivos 
em dispositivos móveis 
dispositivos móveis Ele 
móveis Ele fornece 
Ele fornece diversas 
fornece diversas ferramentas 
diversas ferramentas que 
ferramentas que facilitam 
que facilitam a 
facilitam a criação 
a criação de 
criação de aplicações 
de aplicações híbridas 
aplicações híbridas possíveis 
híbridas possíveis de 
possíveis de serem 
de serem instaladas 
serem instaladas a 
instaladas a partir 
a partir das 
partir das principais 
das principais lojas 
principais lojas de 
lojas de aplicativos 
de aplicativos do 
aplicativos do mercado 
do mercado Além 
mercado Além disso 
Além disso essa 
disso essa ferramenta 
essa ferramenta suporta 
ferramenta suporta linguagens 
suporta linguagens web 
linguagens web como 
web como linguagem 
como linguagem de 
linguagem de marcação 
de marcação de 
marcação de hipertexto 
de hipertexto HyperText 
hipertexto HyperText Markup 
HyperText Markup Language 
Markup Language — 
Language — HTML 
— HTML CSS 
HTML CSS e 
CSS e JavaScript 
e JavaScript O 
JavaScript O Angular 
O Angular é 
Angular é um 
é um framework 
um framework criado 
framework criado especialmente 
criado especialmente para 
especialmente para auxiliar 
para auxiliar na 
auxiliar na interação 
na interação entre 
interação entre o 
entre o front 
o front e 
front e o 
e o back 
o back end 
back end É 
end É muito 
É muito utilizado 
muito utilizado em 
utilizado em projetos 
em projetos de 
projetos de página 
de página única 
página única para 
única para possibilitar 
para possibilitar a 
possibilitar a comunicação 
a comunicação entre 
comunicação entre o 
entre o computador 
o computador local 
computador local e 
local e o 
e o servidor 
o servidor Esse 
servidor Esse recurso 
Esse recurso permite 
recurso permite que 
permite que muitas 
que muitas interações 
muitas interações e 
interações e tarefas 
e tarefas sejam 
tarefas sejam realizadas 
sejam realizadas diretamente 
realizadas diretamente na 
diretamente na máquina 
na máquina do 
máquina do usuário 
do usuário Isso 
usuário Isso poupa 
Isso poupa processamento 
poupa processamento e 
processamento e desafoga 
e desafoga o 
desafoga o link 
o link de 
link de internet 
de internet A 
internet A biblioteca 
A biblioteca é 
biblioteca é menos 
é menos complexa 
menos complexa do 
complexa do que 
do que o 
que o framework 
o framework É 
framework É um 
É um dos 
um dos recursos 
dos recursos mais 
recursos mais utilizados 
mais utilizados na 
utilizados na área 
na área de 
área de TI 
de TI cuja 
TI cuja ideia 
cuja ideia principal 
ideia principal é 
principal é compartilhar 
é compartilhar soluções 
compartilhar soluções já 
soluções já prontas 
já prontas por 
prontas por meio 
por meio de 
meio de funções 
de funções ou 
funções ou métodos 
ou métodos Em 
métodos Em uma 
Em uma analogia 
uma analogia bastante 
analogia bastante simples 
bastante simples seria 
simples seria o 
seria o mesmo 
o mesmo que 
mesmo que aplicar 
que aplicar a 
aplicar a estrutura 
a estrutura de 
estrutura de equações 
de equações para 
equações para resolver 
para resolver problemas 
resolver problemas matemáticos 
problemas matemáticos Assim 
matemáticos Assim não 
Assim não é 
não é preciso 
é preciso desenvolver 
preciso desenvolver toda 
desenvolver toda a 
toda a lógica 
a lógica para 
lógica para chegar 
para chegar a 
chegar a formulação 
a formulação da 
formulação da equação 
da equação — 
equação — a 
— a questão 
a questão já 
questão já está 
já está pronta 
está pronta Em 
pronta Em outras 
Em outras palavras 
outras palavras é 
palavras é uma 
é uma espécie 
uma espécie de 
espécie de coleção 
de coleção de 
coleção de implementações 
de implementações de 
implementações de comportamentos 
de comportamentos definidas 
comportamentos definidas em 
definidas em uma 
em uma linguagem 
uma linguagem e 
linguagem e importadas 
e importadas para 
importadas para o 
para o código 
o código que 
código que está 
que está desenvolvendo 
está desenvolvendo Um 
desenvolvendo Um exemplo 
Um exemplo de 
exemplo de biblioteca 
de biblioteca de 
biblioteca de códigos 
de códigos bastante 
códigos bastante utilizado 
bastante utilizado é 
utilizado é o 
é o jQuery 
o jQuery utilizado 
jQuery utilizado para 
utilizado para manipulação 
para manipulação de 
manipulação de códigos 
de códigos HTML 
códigos HTML O 
HTML O framework 
O framework normalmente 
framework normalmente é 
normalmente é conhecido 
é conhecido por 
conhecido por ser 
por ser um 
ser um conjunto 
um conjunto de 
conjunto de bibliotecas 
de bibliotecas de 
bibliotecas de códigos 
de códigos abstratos 
códigos abstratos que 
abstratos que realizarão 
que realizarão uma 
realizarão uma operação 
uma operação maior 
operação maior Com 
maior Com um 
Com um maior 
um maior grau 
maior grau de 
grau de complexidade 
de complexidade está 
complexidade está diretamente 
está diretamente ligado 
diretamente ligado à 
ligado à arquitetura 
à arquitetura de 
arquitetura de software 
de software Um 
software Um exemplo 
Um exemplo simples 
exemplo simples são 
simples são as 
são as telas 
as telas de 
telas de login 
de login Elas 
login Elas possuem 
Elas possuem características 
possuem características sempre 
características sempre bem 
sempre bem semelhantes 
bem semelhantes uma 
semelhantes uma tela 
uma tela para 
tela para inserção 
para inserção do 
inserção do nome 
do nome do 
nome do usuário 
do usuário campo 
usuário campo para 
campo para inserção 
para inserção da 
inserção da senha 
da senha um 
senha um botão 
um botão de 
botão de recuperação 
de recuperação de 
recuperação de senha 
de senha e 
senha e um 
e um de 
um de ‘ 
de ‘ entrar 
‘ entrar ’ 
entrar ’ Por 
’ Por terem 
Por terem sempre 
terem sempre a 
sempre a mesma 
a mesma estrutura 
mesma estrutura criouse 
estrutura criouse um 
criouse um framework 
um framework dessa 
framework dessa operação 
dessa operação de 
operação de forma 
de forma que 
forma que essa 
que essa função 
essa função é 
função é implementada 
é implementada rapidamente 
implementada rapidamente no 
rapidamente no código 
no código sem 
código sem ter 
sem ter que 
ter que reescrevêlo 
que reescrevêlo sempre 
reescrevêlo sempre que 
sempre que quiser 
que quiser acrescentar 
quiser acrescentar uma 
acrescentar uma tela 
uma tela de 
tela de login 
de login a 
login a sua 
a sua solução 
sua solução Em 
solução Em primeiro 
Em primeiro lugar 
primeiro lugar deixemos 
lugar deixemos claro 
deixemos claro o 
claro o conceito 
o conceito de 
conceito de engenharia 
de engenharia de 
engenharia de software 
de software Ele 
software Ele diz 
Ele diz respeito 
diz respeito a 
respeito a uma 
a uma área 
uma área da 
área da computação 
da computação que 
computação que se 
que se destina 
se destina à 
destina à especificação 
à especificação desenvolvimento 
especificação desenvolvimento manutenção 
desenvolvimento manutenção e 
manutenção e criação 
e criação de 
criação de softwares 
de softwares com 
softwares com aplicação 
com aplicação de 
aplicação de tecnologias 
de tecnologias ferramentas 
tecnologias ferramentas estratégias 
ferramentas estratégias e 
estratégias e práticas 
e práticas de 
práticas de gerência 
de gerência de 
gerência de projetos 
de projetos Isso 
projetos Isso tudo 
Isso tudo com 
tudo com o 
com o objetivo 
o objetivo de 
objetivo de conseguir 
de conseguir uma 
conseguir uma melhor 
uma melhor organização 
melhor organização interna 
organização interna produtividade 
interna produtividade e 
produtividade e qualidade 
e qualidade Por 
qualidade Por isso 
Por isso ações 
isso ações ferramentas 
ações ferramentas e 
ferramentas e estratégias 
e estratégias que 
estratégias que conduzam 
que conduzam a 
conduzam a uma 
a uma maior 
uma maior agilidade 
maior agilidade de 
agilidade de processos 
de processos e 
processos e eficiência 
e eficiência são 
eficiência são sempre 
são sempre bemvindas 
sempre bemvindas e 
bemvindas e contribuem 
e contribuem para 
contribuem para as 
para as práticas 
as práticas de 
práticas de engenharia 
de engenharia de 
engenharia de software 
de software E 
software E o 
E o framework 
o framework está 
framework está diretamente 
está diretamente relacionado 
diretamente relacionado com 
relacionado com isso 
com isso Em 
isso Em primeiro 
Em primeiro lugar 
primeiro lugar ganhase 
lugar ganhase em 
ganhase em tempo 
em tempo de 
tempo de realização 
de realização de 
realização de processos 
de processos Afinal 
processos Afinal se 
Afinal se você 
se você já 
você já tem 
já tem um 
tem um determinado 
um determinado framework 
determinado framework não 
framework não precisa 
não precisa escrever 
precisa escrever determinados 
escrever determinados códigos 
determinados códigos e 
códigos e funções 
e funções manualmente 
funções manualmente basta 
manualmente basta incorporálos 
basta incorporálos Além 
incorporálos Além disso 
Além disso a 
disso a composição 
a composição manual 
composição manual pode 
manual pode ocasionar 
pode ocasionar em 
ocasionar em falhas 
em falhas no 
falhas no processo 
no processo Uma 
processo Uma linha 
Uma linha errada 
linha errada pode 
errada pode comprometer 
pode comprometer todo 
comprometer todo o 
todo o projeto 
o projeto que 
projeto que está 
que está sendo 
está sendo executado 
sendo executado Com 
executado Com a 
Com a inserção 
a inserção do 
inserção do framework 
do framework o 
framework o código 
o código já 
código já está 
já está escrito 
está escrito corretamente 
escrito corretamente e 
corretamente e pode 
e pode ser 
pode ser aplicado 
ser aplicado de 
aplicado de imediato 
de imediato facilitando 
imediato facilitando as 
facilitando as práticas 
as práticas implementadas 
práticas implementadas pelos 
implementadas pelos engenheiros 
pelos engenheiros de 
engenheiros de software 
de software presentes 
software presentes no 
presentes no projeto 
no projeto Ao 
projeto Ao mesmo 
Ao mesmo tempo 
mesmo tempo que 
tempo que a 
que a maioria 
a maioria das 
maioria das soluções 
das soluções de 
soluções de framework 
de framework oferece 
framework oferece segurança 
oferece segurança também 
segurança também pode 
também pode estar 
pode estar sujeita 
estar sujeita a 
sujeita a vulnerabilidades 
a vulnerabilidades Isso 
vulnerabilidades Isso acontece 
Isso acontece porque 
acontece porque por 
porque por um 
por um lado 
um lado há 
lado há um 
há um amplo 
um amplo suporte 
amplo suporte à 
suporte à correção 
à correção de 
correção de falhas 
de falhas de 
falhas de segurança 
de segurança — 
segurança — já 
— já que 
já que a 
que a ferramenta 
a ferramenta é 
ferramenta é usada 
é usada por 
usada por vários 
por vários desenvolvedores 
vários desenvolvedores e 
desenvolvedores e tem 
e tem uma 
tem uma comunidade 
uma comunidade inteira 
comunidade inteira para 
inteira para resolver 
para resolver vulnerabilidades 
resolver vulnerabilidades Por 
vulnerabilidades Por outro 
Por outro entretanto 
outro entretanto por 
entretanto por ser 
por ser um 
ser um software 
um software aberto 
software aberto usuários 
aberto usuários maliciosos 
usuários maliciosos podem 
maliciosos podem procurar 
podem procurar falhas 
procurar falhas e 
falhas e explorálas 
e explorálas — 
explorálas — o 
— o que 
o que representa 
que representa certo 
representa certo risco 
certo risco Por 
risco Por isso 
Por isso é 
isso é fundamental 
é fundamental que 
fundamental que os 
que os profissionais 
os profissionais que 
profissionais que utilizam 
que utilizam frameworks 
utilizam frameworks avaliem 
frameworks avaliem constantemente 
avaliem constantemente as 
constantemente as linhas 
as linhas de 
linhas de código 
de código presentes 
código presentes verificando 
presentes verificando se 
verificando se há 
se há brechas 
há brechas de 
brechas de segurança 
de segurança ou 
segurança ou vulnerabilidades 
ou vulnerabilidades inseridas 
vulnerabilidades inseridas Também 
inseridas Também é 
Também é importante 
é importante implementar 
importante implementar medidas 
implementar medidas e 
medidas e protocolos 
e protocolos de 
protocolos de segurança 
de segurança para 
segurança para preservar 
para preservar a 
preservar a integridade 
a integridade do 
integridade do projeto 
do projeto Desenvolver 
projeto Desenvolver o 
Desenvolver o próprio 
o próprio framework 
próprio framework é 
framework é uma 
é uma possibilidade 
uma possibilidade para 
possibilidade para empresas 
para empresas com 
empresas com setores 
com setores de 
setores de tecnologia 
de tecnologia da 
tecnologia da informação 
da informação TI 
informação TI bem 
TI bem desenvolvidos 
bem desenvolvidos e 
desenvolvidos e necessidades 
e necessidades muito 
necessidades muito específicas 
muito específicas Para 
específicas Para isso 
Para isso podese 
isso podese usar 
podese usar códigos 
usar códigos de 
códigos de soluções 
de soluções próprias 
soluções próprias que 
próprias que tenha 
que tenha criado 
tenha criado Mesmo 
criado Mesmo assim 
Mesmo assim é 
assim é de 
é de extrema 
de extrema importância 
extrema importância ter 
importância ter desenvolvedores 
ter desenvolvedores que 
desenvolvedores que conheçam 
que conheçam a 
conheçam a linguagem 
a linguagem a 
linguagem a fundo 
a fundo Até 
fundo Até porque 
Até porque vale 
porque vale ressaltar 
vale ressaltar o 
ressaltar o principal 
o principal benefício 
principal benefício de 
benefício de se 
de se criar 
se criar o 
criar o próprio 
o próprio recurso 
próprio recurso é 
recurso é o 
é o controle 
o controle completo 
controle completo que 
completo que se 
que se tem 
se tem sobre 
tem sobre as 
sobre as soluções 
as soluções No 
soluções No entanto 
No entanto com 
entanto com isso 
com isso também 
isso também vem 
também vem a 
vem a responsabilidade 
a responsabilidade por 
responsabilidade por fazer 
por fazer documentação 
fazer documentação testes 
documentação testes correções 
testes correções atualizações 
correções atualizações e 
atualizações e é 
e é claro 
é claro a 
claro a implementação 
a implementação das 
implementação das funções 
das funções Por 
funções Por isso 
Por isso esse 
isso esse projeto 
esse projeto pode 
projeto pode representar 
pode representar um 
representar um alto 
um alto custo 
alto custo para 
custo para a 
para a empresa 
a empresa já 
empresa já que 
já que vários 
que vários profissionais 
vários profissionais terão 
profissionais terão de 
terão de investir 
de investir tempo 
investir tempo na 
tempo na execução 
na execução e 
execução e na 
e na manutenção 
na manutenção do 
manutenção do framework 
do framework Porém 
framework Porém em 
Porém em alguns 
em alguns casos 
alguns casos tornase 
casos tornase vantajoso 
tornase vantajoso ou 
vantajoso ou até 
ou até mesmo 
até mesmo necessária 
mesmo necessária a 
necessária a elaboração 
a elaboração de 
elaboração de um 
de um framework 
um framework próprio 
framework próprio Essa 
próprio Essa é 
Essa é uma 
é uma questão 
uma questão que 
questão que deve 
que deve ser 
deve ser avaliada 
ser avaliada com 
avaliada com as 
com as equipes 
as equipes específicas 
equipes específicas pensando 
específicas pensando em 
pensando em questões 
em questões de 
questões de custobenefício 
de custobenefício e 
custobenefício e verificando 
e verificando se 
verificando se há 
se há de 
há de fato 
de fato condições 
fato condições para 
condições para que 
para que a 
que a organização 
a organização arque 
organização arque com 
arque com um 
com um projeto 
um projeto desses 
projeto desses Como 
desses Como vimos 
Como vimos o 
vimos o uso 
o uso de 
uso de frameworks 
de frameworks pode 
frameworks pode agilizar 
pode agilizar projetos 
agilizar projetos garantir 
projetos garantir uma 
garantir uma política 
uma política de 
política de entrega 
de entrega contínua 
entrega contínua em 
contínua em sua 
em sua empresa 
sua empresa minimizar 
empresa minimizar erros 
minimizar erros e 
erros e oferecer 
e oferecer maior 
oferecer maior eficiência 
maior eficiência para 
eficiência para seus 
para seus colaboradores 
seus colaboradores Achou 
colaboradores Achou este 
Achou este conteúdo 
este conteúdo interessante 
conteúdo interessante Então 
interessante Então compartilheo 
Então compartilheo em 
compartilheo em suas 
em suas redes 
suas redes sociais 
redes sociais para 
sociais para que 
para que outros 
que outros colegas 
outros colegas da 
colegas da área 
da área de 
área de TI 
de TI entendam 
TI entendam como 
entendam como podem 
como podem se 
podem se beneficiar 
se beneficiar com 
beneficiar com o 
com o uso 
o uso de 
uso de frameworks 
de frameworks infragaeacombr 
frameworks infragaeacombr Artigos 
infragaeacombr Artigos framework 
Artigos framework 2 
framework 2 Comentários 
2 Comentários Descubra 
Comentários Descubra tudo 
Descubra tudo sobre 
tudo sobre a 
sobre a utilização 
a utilização do 
utilização do PMBOK 
do PMBOK Galeria 
PMBOK Galeria Descubra 
Galeria Descubra tudo 
Descubra tudo sobre 
tudo sobre a 
sobre a utilização 
a utilização do 
utilização do PMBOK 
do PMBOK 0 
PMBOK 0 Comentários 
0 Comentários Multicloud 
Comentários Multicloud saiba 
Multicloud saiba tudo 
saiba tudo sobre 
tudo sobre a 
sobre a estratégia 
a estratégia e 
estratégia e como 
e como começar 
como começar Galeria 
começar Galeria Multicloud 
Galeria Multicloud saiba 
Multicloud saiba tudo 
saiba tudo sobre 
tudo sobre a 
sobre a estratégia 
a estratégia e 
estratégia e como 
e como começar 
como começar 0 
começar 0 Comentários 
0 Comentários O 
Comentários O que 
O que é 
que é User 
é User Experience 
User Experience UX 
Experience UX Galeria 
UX Galeria O 
Galeria O que 
O que é 
que é User 
é User Experience 
User Experience UX 
Experience UX 0 
UX 0 Comentários 
0 Comentários Saiba 
Comentários Saiba a 
Saiba a importância 
a importância de 
importância de ter 
de ter um 
ter um release 
um release planning 
release planning bem 
planning bem estruturado 
bem estruturado Galeria 
estruturado Galeria Saiba 
Galeria Saiba a 
Saiba a importância 
a importância de 
importância de ter 
de ter um 
ter um release 
um release planning 
release planning bem 
planning bem estruturado 
bem estruturado 0 
estruturado 0 Comentários 
0 Comentários Como 
Comentários Como eliminar 
Como eliminar gargalos 
eliminar gargalos com 
gargalos com o 
com o mapeamento 
o mapeamento de 
mapeamento de fluxo 
de fluxo de 
fluxo de valor 
de valor Galeria 
valor Galeria Como 
Galeria Como eliminar 
Como eliminar gargalos 
eliminar gargalos com 
gargalos com o 
com o mapeamento 
o mapeamento de 
mapeamento de fluxo 
de fluxo de 
fluxo de valor 
de valor 0 
valor 0 Comentários 
0 Comentários Responder 
Comentários Responder Bom 
Responder Bom post 
Bom post conteúdo 
post conteúdo bem 
conteúdo bem organizado 
bem organizado Mas 
organizado Mas se 
Mas se tivesse 
se tivesse mais 
tivesse mais informação 
mais informação sobre 
informação sobre o 
sobre o framework 
o framework em 
framework em se 
em se ficaria 
se ficaria mais 
ficaria mais completo 
mais completo Responder 
completo Responder Muito 
Responder Muito esclarecedor 
Muito esclarecedor o 
esclarecedor o post 
o post Bem 
post Bem diferente 
Bem diferente dos 
diferente dos posts 
dos posts que 
posts que li 
que li a 
li a respeito 
a respeito Cancelar 
respeito Cancelar resposta 
Cancelar resposta Rock 
resposta Rock Convert 
Rock Convert Rock 
Convert Rock Convert 
Rock Convert Popular 
Convert Popular DevOps 
Popular DevOps Você 
DevOps Você conhece 
Você conhece bem 
conhece bem as 
bem as principais 
as principais áreas 
principais áreas de 
áreas de TI 
de TI Artigos 
TI Artigos Desenvolvimento 
Artigos Desenvolvimento DevOps 
Desenvolvimento DevOps Ebook 
DevOps Ebook ITIL 
Ebook ITIL Segurança 
ITIL Segurança Descubra 
Segurança Descubra tudo 
Descubra tudo sobre 
tudo sobre a 
sobre a utilização 
a utilização do 
utilização do PMBOK 
do PMBOK TDD 
PMBOK TDD BDD 
TDD BDD e 
BDD e DDD 
e DDD entenda 
DDD entenda o 
entenda o que 
o que são 
que são essas 
são essas siglas 
essas siglas Multicloud 
siglas Multicloud saiba 
Multicloud saiba tudo 
saiba tudo sobre 
tudo sobre a 
sobre a estratégia 
a estratégia e 
estratégia e como 
e como começar 
como começar Cadastre 
começar Cadastre Aqui 
Cadastre Aqui Gaea 
Aqui Gaea Consulting 

